id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
       11961,  0.3272090E+06,  0.6052993E+07,    13.692,    19.015
       11962,  0.3271825E+06,  0.6052925E+07,    12.187,    22.886
       11963,  0.3272635E+06,  0.6053047E+07,    11.853,    15.103
       11964,  0.3273070E+06,  0.6053143E+07,    11.693,    14.135
       11965,  0.3273229E+06,  0.6053062E+07,     9.611,    11.645
       11966,  0.3272710E+06,  0.6052955E+07,    13.647,    19.311
       11967,  0.3273145E+06,  0.6053011E+07,     8.517,    10.978
       11968,  0.3273772E+06,  0.6053231E+07,    11.064,    13.087
       11969,  0.3273917E+06,  0.6053148E+07,    10.500,    12.330
       11970,  0.3274473E+06,  0.6053319E+07,    10.823,    12.707
       11971,  0.3274605E+06,  0.6053235E+07,    10.077,    11.655
       11972,  0.3275174E+06,  0.6053407E+07,    10.746,    12.585
       11973,  0.3275292E+06,  0.6053321E+07,     9.886,    11.377
       11974,  0.3275876E+06,  0.6053495E+07,    11.059,    13.078
       11975,  0.3275980E+06,  0.6053407E+07,     9.921,    11.448
       11976,  0.3276577E+06,  0.6053583E+07,    12.115,    14.854
       11977,  0.3276668E+06,  0.6053493E+07,    10.415,    12.259
       11978,  0.3277361E+06,  0.6053648E+07,    12.086,    16.342
       11979,  0.3277356E+06,  0.6053579E+07,     8.342,    10.409
       11980,  0.3278225E+06,  0.6053717E+07,     8.965,    17.188
       11981,  0.3278082E+06,  0.6053654E+07,    16.126,    23.334
       11982,  0.3278513E+06,  0.6053702E+07,     9.161,    18.544
       11983,  0.3279087E+06,  0.6053720E+07,    17.236,   353.514
       11984,  0.3272445E+06,  0.6052887E+07,    14.663,    26.977
       11985,  0.3272534E+06,  0.6052825E+07,    15.112,   570.461
       11986,  0.3273261E+06,  0.6052916E+07,    14.248,    20.208
       11987,  0.3272959E+06,  0.6052852E+07,    10.217,    18.610
       11988,  0.3274076E+06,  0.6053068E+07,    11.670,    14.150
       11989,  0.3273696E+06,  0.6052972E+07,     9.830,    12.754
       11990,  0.3274260E+06,  0.6052992E+07,     9.762,    11.925
       11991,  0.3274750E+06,  0.6053152E+07,    11.011,    13.037
       11992,  0.3274919E+06,  0.6053073E+07,    10.055,    11.857
       11993,  0.3273785E+06,  0.6052879E+07,    13.384,    18.842
       11994,  0.3274217E+06,  0.6052938E+07,     8.412,    10.898
       11995,  0.3275424E+06,  0.6053237E+07,    10.742,    12.607
       11996,  0.3275577E+06,  0.6053155E+07,     9.628,    11.156
       11997,  0.3276098E+06,  0.6053321E+07,    10.652,    12.462
       11998,  0.3276236E+06,  0.6053237E+07,     9.434,    10.850
       11999,  0.3276772E+06,  0.6053405E+07,    10.924,    12.883
       12000,  0.3276894E+06,  0.6053319E+07,     9.455,    10.897
       12001,  0.3277446E+06,  0.6053489E+07,    11.854,    14.411
       12002,  0.3277553E+06,  0.6053401E+07,     9.848,    11.544
       12003,  0.3278077E+06,  0.6053585E+07,     8.508,    11.520
       12004,  0.3278211E+06,  0.6053483E+07,     9.574,    11.670
       12005,  0.3278276E+06,  0.6053546E+07,     9.780,    12.835
       12006,  0.3278944E+06,  0.6053658E+07,    10.622,    20.091
