ID,LND_phreatic,ASS_pass0_lay1,ASS_anc0_lay1,ASS_uzaass,ASS_szaass
7834,0.0000,0.1743,0.1714,0.1335,-1.1846
7835,0.0000,0.2000,0.2000,0.0000,0.0000
7836,0.0000,0.1648,0.1562,0.2154,-1.9146
7837,0.0000,0.2000,0.2000,0.0000,0.0000
7838,0.0000,0.2000,0.2000,0.0000,0.0000
7839,0.0000,0.2000,0.2000,0.0000,0.0000
7840,0.0000,0.2000,0.2000,0.0000,0.0000
7841,0.0000,0.2000,0.2000,0.0000,0.0000
7842,0.0000,0.2000,0.2000,0.0000,0.0000
7843,0.0000,0.2000,0.2000,0.0000,0.0000
7844,0.0000,0.2000,0.2000,0.0000,0.0000
7845,0.0000,0.2000,0.2000,0.0000,0.0000
7846,0.0000,0.2000,0.2000,0.0000,0.0000
7847,0.0000,0.2000,0.2000,0.0000,0.0000
7848,0.0000,0.2000,0.2000,0.0000,0.0000
7849,0.0000,0.2000,0.2000,0.0000,0.0000
